label,text
1,As I remember
1,it was upon this fashionbequeathed me by will but poor a thousand crowns
1,as thou sayest
1,charged my brother
1,on hisblessing
1,to breed me well and there begins mysadness
1,My brother Jaques he keeps at school
1,andreport speaks goldenly of his profit for my part
1,he keeps me rustically at home
1,to speak moreproperly
1,stays me here at home unkept; for call youthat keeping for a gentleman of my birth
1,thatdiffers not from the stalling of an ox? His horsesare bred better; for
1,besides that they are fairwith their feeding
1,they are taught their manage
1,and to that end riders dearly hired but I
1,gain nothing under him but growth; for thewhich his animals on his dunghills are as muchbound to him as I
1,Besides this nothing that he soplentifully gives me
1,the something that nature gaveme his countenance seems to take from me he letsme feed with his hinds
1,bars me the place of abrother
1,as much as in him lies
1,mines mygentility with my education
1,thatgrieves me; and the spirit of my father
1,which Ithink is within me
1,begins to mutiny against thisservitude I will no longer endure it
1,though yet Iknow no wise remedy how to avoid it
1,Yonder comes my master
1,your brother
1,and thou shalt hear how he willshake me up
1,sir! what make you here? Nothing I am not taught to make any thing
1,What mar you then
1,I am helping you to mar that which Godmade
1,a poor unworthy brother of yours
1,with idleness
1,be better employed
1,and be naught awhile
1,Shall I keep your hogs and eat husks with them?What prodigal portion have I spent
1,that I shouldcome to such penury? Know you where your are
1,very well; here in your orchard
1,Know you before whom
1,better than him I am before knows me
1,I knowyou are my eldest brother; and
1,in the gentlecondition of blood
1,you should so know me
1,Thecourtesy of nations allows you my better
1,in thatyou are the first-born; but the same traditiontakes not away my blood
1,were there twenty brothersbetwixt us I have as much of my father in me asyou; albeit
1,your coming before me isnearer to his reverence
1,elder brother
1,you are too young in this
1,Wilt thou lay hands on me
1,villain? I am no villain; I am the youngest son of SirRowland de Boys; he was my father
1,and he is thricea villain that says such a father begot villains
1,Wert thou not my brother
1,I would not take this handfrom thy throat till this other had pulled out thytongue for saying so thou hast railed on thyself
1,Sweet masters
1,be patient for your fathersremembrance
1,be at accord
1,till I please you shall hear me
1,Myfather charged you in his will to give me goodeducation you have trained me like a peasant
1,obscuring and hiding from me all gentleman-likequalities
1,The spirit of my father grows strong inme
1,and I will no longer endure it therefore allowme such exercises as may become a gentleman
1,orgive me the poor allottery my father left me bytestament; with that I will go buy my fortunes
1,And what wilt thou do? beg
1,when that is spent?Well
1,get you in I will not long be troubledwith you; you shall have some part of your will Ipray you
1,I will no further offend you than becomes me for my good
1,Get you with him
1,Is old dog my reward? Most true
1,I have lost myteeth in your service
1,God be with my old master!he would not have spoke such a word
1,Is it even so? begin you to grow upon me? I willphysic your rankness
1,and yet give no thousandcrowns neither
1,Dennis!    Calls your worship? Was not Charles
1,the dukes wrestler
1,here to speak with me? So please you
1,he is here at the door and importunesaccess to you
1,Twill be a good way; and to-morrow the wrestling is
1,Good morrow to your worship
1,Good Monsieur Charles
1,whats the new news at thenew court? Theres no news at the court
1,but the old newsthat is
1,the old duke is banished by his youngerbrother the new duke; and three or four loving lordshave put themselves into voluntary exile with him
1,whose lands and revenues enrich the new duke;therefore he gives them good leave to wander
1,Can you tell if Rosalind
1,the dukes daughter
1,bebanished with her father? O
1,no; for the dukes daughter
1,being ever from their cradles bred together
1,that she would have followed her exile
1,or have diedto stay behind her
1,She is at the court
1,and noless beloved of her uncle than his own daughter; andnever two ladies loved as they do
1,Where will the old duke live? They say he is already in the forest of Arden
1,anda many merry men with him; and there they live likethe old Robin Hood of England they say many younggentlemen flock to him every day
1,and fleet the timecarelessly
1,as they did in the golden world
1,you wrestle to-morrow before the new duke? Marry
1,sir; and I came to acquaint you with amatter
1,secretly to understandthat your younger brother Orlando hath a dispositionto come in disguised against me to try a fall
1,I wrestle for my credit; and he thatescapes me without some broken limb shall acquit himwell
1,Your brother is but young and tender; and
1,for your love
1,I would be loath to foil him
1,for my own honour
1,if he come in therefore
1,out of my love to you
1,I came hither to acquaint youwithal
1,that either you might stay him from hisintendment or brook such disgrace well as he shallrun into
1,in that it is a thing of his own searchand altogether against my will
1,I thank thee for thy love to me
1,whichthou shalt find I will most kindly requite
1,I hadmyself notice of my brothers purpose herein andhave by underhand means laboured to dissuade him fromit
1,but he is resolute
1,Ill tell thee
1,Charlesit is the stubbornest young fellow of France
1,fullof ambition
1,an envious emulator of every mansgood parts
1,a secret and villanous contriver againstme his natural brother therefore use thydiscretion; I had as lief thou didst break his neckas his finger
